name,tagline,web_site,main_product_or_service,categories,web_domain
Aqemia,Discovering Drugs with Deep Physics and AI,https://www.aqemia.com,AI-driven drug discovery platform,Pharmaceuticals | Biotech | AI | Deeptech | AI | Healthcare,aqemia.com
Aqemia,AI-driven drug discovery platform,https://biopharmatrend.com,AI-based drug discovery solutions,Biotech | Pharmaceuticals | AI,biopharmatrend.com
Aragorn.ai,Automate employee data from everywhere to anywhere,https://www.aragorn.ai,Employee data integration platform,HR & People Operations | Corporate IT,aragorn.ai
Ario Chat Bot,Chat with AI,https://ario-chat-bot-chat-with-ai.cn.uptodown.com/android,Chatbot application for Android,Education & Language,cn.uptodown.com
Arize AI,AI Observability & LLM Evaluation Platform,https://arize.com,AI observability and LLM evaluation platform,AI | Machine Learning | Data Analytics,arize.com
ArkiFi,This is the future of finance.,https://www.arkifi.ai,AI-powered finance workflow automation tool,Finance | AI | Automation,arkifi.ai
ArteraAI,Personalized Precision Medicine & AI Cancer Therapy,https://artera.ai,ArteraAI Prostate Test,Healthcare | AI | Biotech,artera.ai
Artisight,AI-Driven Smart Hospital Automation For Better Care,https://artisight.com/,Smart Hospital Platform,Healthcare | AI | Automation,artisight.com
AssemblyAI,AI models to transcribe and understand speech,https://www.assemblyai.com,Speech AI models for accurate speech-to-text and audio intelligence,Speech Recognition | AI | API Services,assemblyai.com
Athena Intelligence,AI-native analytics platform and artificial employee,https://www.athenaintelligence.ai/,AI-native analytics platform,AI | Analytics | Enterprise Software,athenaintelligence.ai
Atlassian,New AI Product Gives Developers Access to Agents,https://thenewstack.io/atlassians-new-ai-product-gives-developers-access-to-agents/,AI-powered development tools,Software Development | AI | Dev Tools | NLP | Compliance | Database | Web Development | Cloud Services,thenewstack.io
Atomo,Healthcare Insights Through Machine Learning,https://www.atomohealth.com/,AI and advanced analytics for healthcare,Healthcare | Machine Learning | Data Analytics,atomohealth.com
AttoTude,Revolutionizing Interconnect Technology,https://attotude.com,Interconnect technology for data centers,Technology | Data Centers | AI,attotude.com
Augmedix,"EHR-integrated AI documentation for every ambulatory & acute specialty, including the ED.",https://augmedix.com,AI Medical Documentation,Healthcare | AI | Medical Technology,augmedix.com
Augment AI,Master the Buyer Journey,https://www.augment.co,AI-powered sales tools,B2B | Sales | AI | Technology,augment.co
Authenticx,Conversational Intelligence in Healthcare,https://authenticx.com,Authenticx Platform,Healthcare | AI | Conversational Intelligence,authenticx.com
AutoChain,Revolutionizing Automotive Supply Chains with Blockchain Technology,https://autochain.forethought.ai,Blockchain-based supply chain management solutions for the automotive industry,Blockchain | Automotive | Supply Chain Management | Technology,autochain.forethought.ai
AutoGen,Automating code generation with AI,https://microsoft.github.io/AutoGen/,AI-powered code generation tools,Software Development | AI | Open Source,microsoft.github.io
Avaamo,The most advanced conversational AI platform for enterprise,https://avaamo.ai/,Conversational AI Platform,AI | Enterprise Software | Conversational AI | Customer Experience | Employee Experience | Healthcare | Banking | Education | Insurance | Telecommunications | Supply Chain,avaamo.ai
Axolotl,AI-powered cloud solutions for seamless integration.,https://axolotl-ai-cloud.github.io,AI cloud integration platform,AI | Cloud Computing | Software Development,axolotl-ai-cloud.github.io
AxonJay,AI powered business forecasting in real time,https://www.axonjay.ai,"AI-Sales Assistant, AI-Private Fund assistant, AI-Custom assistant",AI | Business Forecasting | Machine Learning,axonjay.ai
Baichuan,Empowering AI with Open-Source Models,https://baichuan-ai.com,Open-source AI models and solutions,AI | Machine Learning | Open Source Software,baichuan-ai.com
BenevolentAI,AI Drug Discovery,https://www.benevolent.com/,AI-enabled drug discovery platform,AI | Pharmaceuticals | Biotech,benevolent.com
Berri AI,AI-driven insights for better decision making.,https://berri.ai,AI analytics platform for businesses,AI | Data Analytics | BI,berri.ai
Betterdata,Programmatic Synthetic Data,https://www.betterdata.ai/,Synthetic data solutions,Data Privacy | AI | Data Analytics,betterdata.ai
BharatGPT,Empowering India with AI-driven solutions,https://bharatgpt.ai,AI-powered chatbot and virtual assistant,AI | Chatbots | Technology | Software Development,bharatgpt.ai
BharatGPT,AI for the Indian context,https://indianexpress.com/bharatgpt,AI-driven content generation and assistance,Technology | AI | Content Creation,indianexpress.com
Bifrost AI,Bridging the gap between AI and human understanding.,https://bifrost.ai,AI-driven insights and analytics platform,AI | Data Analytics | Software Development,bifrost.ai
Bing Chat,Your AI-powered chat assistant.,https://www.bing.com/chat,AI chat service,Technology | AI | Search Engine,bing.com
Black Crow AI,The Customer Intelligence tool for Shopify,https://app.blackcrow.ai/,Customer Intelligence tool for Shopify,E-commerce | AI | Marketing Automation,blackcrow.ai
Black Forest Labs,Image generation model family,https://blackforestlabs.ai/announcing-flux-1-1-pro-and-the-bfl-api/,FLUX image generation models,AI | Image Generation,blackforestlabs.ai
Blackbird.AI,Narrative & Risk Intelligence Platform,https://blackbird.ai,Constellation Narrative Intelligence Platform,Corporate Intelligence | Critical Infrastructure | Consumer Products | Media | Healthcare | Technology Platforms | Finance | Public Sector,blackbird.ai
Blackshark.ai,AI-based object detection and 3D digital twin of the entire planet.,https://blackshark.ai,Geospatial platform for creating 3D digital twins of the planet,Geospatial Analytics | AI | 3D Modeling | Simulation | Digital Twin,blackshark.ai
Blaize,Intelligence at the edge of everywhere.,https://www.blaize.com,AI Edge Computing Platforms,Technology | AI | Edge Computing | Automotive | Smart Vision | Enterprise Computing,blaize.com
Blend,Leading provider of Data Science and AI services for Fortune 500 companies,https://aithority.com/machine-learning/blend-taps-former-aws-and-microsoft-leader-ernesto-chavarin-as-senior-vp-to-propel-ai-innovation/,Data Science and AI services,Machine Learning | Data Analytics | AI Services | Healthcare | AI Solutions | Legal Tech | Financial Services | Mental Health | Customer Experience,aithority.com
BlinqIO,AI Test Engineer,https://blinq.io,AI Test Automation,Software | Automation | AI,blinq.io
BlueDot Impact,"We run courses that support you to develop the knowledge, community and network needed to pursue a high-impact career.",https://bluedot.org/,Courses on AI safety and pandemic preparedness,Education | Non-profit | Technology,bluedot.org
Booksy,"Building its own suite of retail-focused LLMs, Wallaby.",https://venturebeat.com/business/cibc-innovation-banking-provides-growth-capital-to-booksy/,Multilingual embeddings for AI,Business | Finance | AI | Enterprise | Retail | Technology,venturebeat.com
Boomy,Create music in seconds,https://boomy.com,AI-powered music creation platform,Music | Technology | AI | Creative Tools,boomy.com
Boosted.ai,AI Built For Investment Management,https://boosted.ai,AI software for investment management,AI | Investment Management | Financial Technology,boosted.ai
Botsify,A Fully Automated Chatbot Platform To Build AI-Chatbot,https://botsify.com,AI Chatbot Platform,Chatbots | AI | Customer Service | Sales Automation,botsify.com
Botsonic,Enterprise-ready AI that gets results.,https://www.botsonic.com,Custom AI Chatbot for Websites,AI | Chatbots | Customer Service | Automation,botsonic.com
BrainLogic AI,Enhancing life in LATAM through Consumer AI products,https://zapia.com,Personal AI assistant,AI | Consumer Technology | Tech for Good,zapia.com
BrainLogic AI,Empowering Decisions with AI Insights,https://brainlogic.ai,AI-driven analytics platform,AI | Data Analytics | Software Development,brainlogic.ai
Braintrust,Ship LLM products that work,https://braintrust.com,End-to-end platform for building AI apps,AI | Software Development | Technology,braintrust.com
Braintrust,The decentralized talent network.,https://braintrustdata.com,Decentralized talent network connecting freelancers with companies.,Technology | Freelancing | Blockchain | Talent Acquisition | Human Resources,braintrustdata.com
BrightChamps,The Window to Nextgen Skills,https://medium.com/gsv-ventures/brightchamps-the-window-to-nextgen-skills-b8670ceef879,Nextgen Skills Education,Education | EdTech | Technology | Software Development | AI,medium.com
BuildShip,Visual Low-code Backend Builder,https://buildship.app,Visual Backend Builder powered by AI,Low-Code | Backend Development | API Development,buildship.app
CAMEL-AI,Build Multi-Agent Systems for Data Generation,https://camel-ai.org/,LLM multi-agent framework,AI | Open Source | Data Generation | Multi-Agent Systems,camel-ai.org
CLEW,Intelligent Clinical Surveillance,https://clewmed.com/,AI-driven predictive analytics for high-acuity care,Healthcare | AI | Predictive Analytics,clewmed.com
CLIKA,"Embedding intelligence in every device, everywhere.",https://clika.io/,AI model compression toolkit,AI | Machine Learning | Software Development,clika.io
CLM Karbon,"Using artificial intelligence and machine learning, Karbon provides a rules-based workflow engine, along with data sourcing, profile enrichment, digital outreach, identity management, screening, KYC risk scores, policy controls and MI reporting.",https://deltacapita.com/services/karbon,Client Lifecycle Management,Capital Markets | Retail Banking | Asset Management | Insurance | Pensions | Commercial Banking,deltacapita.com
CTGT,Opening the Black Box of AI,https://www.ctgt.ai,"AI solutions for safer, more understandable AI deployments",AI | Machine Learning | Enterprise Software,ctgt.ai
CalypsoAI,AI Security for Innovation,https://calypsoai.com,Enterprise-grade AI security engine,AI Security | Cybersecurity | SaaS,calypsoai.com
Capacity,AI-Powered Support Automation Platform,https://capacity.com,Support Automation,AI | Support Automation | Customer Service | Chatbots | Knowledge Management,capacity.com
Captions,Your AI-powered creative studio,https://desktop.captions.ai,AI-powered video editing and creation tools,Video Editing | AI Tools | Content Creation,captions.ai
Captions App,AI Subtitles & Captions App for Your Content,https://dubs.io/,AI-powered video captioning and dubbing,Video Editing | AI Tools | Content Creation,dubs.io
Careerflow,Your Career Copilot,https://www.careerflow.ai,AI-assisted job search tools,Job Search | Career Development | AI Tools,careerflow.ai
Casca,Make banking magical.,https://cascading.ai,AI Loan Assistant,Fintech | Banking | Loan Origination,cascading.ai
Cashmere,AI-Powered Client Acquisition Made Easy,http://app.cashmereai.com,Client acquisition platform,Technology | AI | Client Acquisition | Wealth Management,cashmereai.com
Celestial AI,Optical interconnect technology platform for memory and compute,https://www.celestial.ai,Photonic Fabric,Technology | AI Infrastructure | Optical Interconnects,celestial.ai
CentML,Experience Life at CentML. Become one of us!,https://centml.ai/,AI solutions and services,AI | Technology | Software,centml.ai
Cerebriu,Excellence in MRI Acquisition,https://cerebriu.com,AI-powered radiology solutions,Healthcare | AI | Medical Technology,cerebriu.com
Certainly,Your All-in-One AI Chatbot Solution,https://certainly.io,Conversational AI platform,AI | Chatbot | E-commerce | Customer Service,certainly.io
Chainalysis,The Blockchain Insights Company,https://www.chainalysis.com,Blockchain data platform,Blockchain | Data Analytics | Crypto Compliance | Crypto Investigations,chainalysis.com
Character.AI,Create and interact with characters powered by AI.,https://character.ai,AI-powered character creation and interaction platform,AI | Chatbots | Technology | Software,character.ai
ChatBot,AI Chat Bot Software for Your Website,https://www.chatbot.com/,AI-powered customer service chatbot,AI | Customer Service | Sales | Marketing | Education,chatbot.com
Chatbase,Custom ChatGPT for your business,https://www.chatbase.co/,Custom AI chatbots for customer support and lead generation,AI | Chatbots | Customer Service | Lead Generation,chatbase.co
Chatfuel,AI agents for automated sales,https://chatfuel.com/,Advanced messaging platform for business communication,AI | Chatbots | Messaging | Automation,chatfuel.com
Chef Robotics,Automating the Future of Food Preparation,https://chefrobotics.com,Robotic kitchen solutions for food preparation,Food Technology | Robotics | Automation | AI,chefrobotics.com
Chord ai,Chords and beats for any song!,https://www.chordai.net/,Chord recognition and beat tracking app,Music | Technology | AI,chordai.net
Chroma,Chroma is the open-source AI application database. Batteries included.,https://trychroma.com,Open-source AI application database,AI | Open-source | Database,trychroma.com
Cicerai,Hours of legal work delivered in minutes with Cicerai Docs,https://cicerai.com,Generative AI native software for legal professionals,Legal Tech | AI Software | Productivity,cicerai.com
Cisco Hypershield,AI-native. Ever aware. Everywhere.,https://www.cisco.com/c/en/us/products/security/hypershield-stay-informed.html,Groundbreaking security architecture for AI-scale data centers,Security | AI Technology | Data Center Solutions,cisco.com
ClaySys Technologies,Automate Your World!,https://www.claysys.com,IT Consulting Services,IT Consulting | Robotic Process Automation | AI | Mobile App Development | Custom Software Development,claysys.com
Cleanlab,Experience GenAI that doesn’t hallucinate,https://app.cleanlab.ai,AI-powered data curation platform,Data Analytics | AI Solutions | Data Quality Management,cleanlab.ai
Clearbrief,Do justice to the facts.,https://clearbrief.ai,AI-powered legal writing platform,Legal Tech | AI | Software,clearbrief.ai
Clearbrief,Transforming legal writing with AI.,https://clearbrief.com,AI-powered legal writing tool,Legal Tech | AI | Software,clearbrief.com
CleeAI,AI-Powered Solutions for Everyday Tasks,https://cleeai.com,AI-driven personal assistant,AI | Productivity | Software Development,cleeai.com
Climate Change AI,Tackling Climate Change with Machine Learning,https://www.climatechange.ai/,Non-profit organization focused on climate change and machine learning,Non-profit | Climate Change | Machine Learning,climatechange.ai
CloudDefense.AI,World's Top CNAPP that Secures from Hacker Recon to Cloud to Your Code,https://www.clouddefense.ai/,Cloud Native Application Protection Platform (CNAPP),Cloud Security | Application Security | Compliance,clouddefense.ai
CoRover.ai,Transforming Virtual Assistant Creation: From Days to just few Minutes with BharatGPT,https://corover.ai/,BharatGPT - Generative AI Platform,Conversational AI | Generative AI | Technology | Software Development | AI | NLP,corover.ai
CodaMetrix,Autonomous Medical Coding,https://www.codametrix.com/,AI-based autonomous medical coding platform,Healthcare | AI | Medical Coding,codametrix.com
CodeComplete,Automating Code Quality Assurance,https://codecomplete.ai,AI-driven code review and quality assurance tool,Software Development | AI | Quality Assurance,codecomplete.ai
CodeRabbit,Cut Code Review Time & Bugs in Half,https://coderabbit.ai,AI-powered code review platform,Software Development | AI | Code Review,coderabbit.ai
CodeSignal,Discover and Develop In-Demand Skills,https://codesignal.com/,Skills assessments and AI-powered learning tools,Education | Technology | Human Resources,codesignal.com
Codeium,Free AI Code Completion & Chat,https://codeium.com,AI code completion and chat tool,Software | AI | Dev Tools,codeium.com
Codeway,"Dream, measure, build, repeat",https://www.codeway.com,Mobile AI apps and games,Mobile Apps | AI Technology | Software Development,codeway.com
CodiumAI,AI-Powered Code Generation,https://www.codium.ai,AI code generation tool,AI | Software Development | Productivity,codium.ai
Cody,AI coding assistant,https://sourcegraph.com/cody,AI coding assistant,Software | AI | Dev Tools | Productivity,sourcegraph.com
Cognigy,Generative & conversational AI powered customer service agents for your business,https://www.cognigy.com,AI Agents for customer service,AI | Customer Service | Conversational AI | Automation,cognigy.com
Cognition,An applied AI lab building end-to-end software agents,https://devin.ai,"Devin, the world’s first AI software engineer",AI | Software Development | Engineering,devin.ai
Cognition,"Meet Devin, the world’s first fully autonomous AI software engineer.",https://www.cognition.com,"Devin, an AI agent specializing in software development",AI | Software Development | Technology,cognition.com
Cognition,Devin is a collaborative AI teammate,https://www.cognition.ai/,Collaborative AI for engineering teams,AI | Software Development | Collaboration Tools,cognition.ai
Cognition Labs,Empowering AI through human-like understanding,https://cognition-labs.com,AI-driven cognitive solutions,AI | Machine Learning | Software Development,cognition-labs.com
Cognosys,Simplify your workflows with AI,https://cognosysai.com,AI Agents for workflow automation,AI | Productivity | Automation,cognosysai.com
Cognosys,AI-Powered Solutions for Business Intelligence,https://cognosys.ai,AI-driven analytics and business intelligence tools,AI | BI | Data Analytics,cognosys.ai
Cohere,The leading AI platform for enterprise,https://cohere.com,Enterprise AI Platform,AI | Enterprise Software | Machine Learning,cohere.com
Cohere,Unlocking the power of language with AI.,https://cohere.ai,Natural Language Processing API,AI | Machine Learning | NLP,cohere.ai
Cohere Health,Transforming UM in Healthcare,https://coherehealth.com,Cohere Unify™ Platform,Healthcare | Technology | AI,coherehealth.com
Collato,AI MEETING ASSISTANT & NOTETAKER,https://collato.com/service-discontinuation,AI Notetaker & Document Generator,Product Management | Sales | Physicians & Healthcare,collato.com
Comet,Build Better Models Faster,https://comet.com,End-to-end model evaluation platform for AI developers,Machine Learning | AI Development | Model Monitoring | Experiment Tracking,comet.com
Complytek,Your Trusted Regulatory Technology Partner,https://www.complytek.ai,"KYC, AML, Fraud, and GRC solutions",Regulatory Technology | Compliance | Financial Services | Risk Management,complytek.ai
Consensus,AI-powered Academic Search Engine,https://consensus.app,AI Search Engine for Research,Technology | Education | Research,consensus.app
Contextual AI,Enterprise AI built for accuracy and privacy,https://contextual.ai,Contextual language models for enterprise use cases,AI | Enterprise Software | Machine Learning,contextual.ai
CoreWeave,The AI Hyperscaler,https://coreweave.com,Cloud computing services with a focus on GPU acceleration,Cloud Computing | AI Infrastructure | GPU Computing,coreweave.com
Corti,AI for Patient Consultations,https://www.corti.ai,AI tools for healthcare,Healthcare | AI | Technology,corti.ai
Couchbase,"The AI-ready, cloud database for modern applications with spectacular performance and versatility",https://www.couchbase.com/,Couchbase Capella Database-as-a-Service,Database | Cloud Computing | NoSQL | Analytics | Mobile,couchbase.com
Credo AI,Leader in Responsible AI Governance,https://www.credo.ai/,AI Governance Platform,AI Governance | Risk Management | Compliance,credo.ai
Crew AI,The Leading Multi-Agent Platform,https://crewai.com,Multi-Agent Automation Platform,AI Automation | Cloud Solutions | BI | Machine Learning | Data Enrichment,crewai.com
CrowdStrike,We Stop Breaches with AI-native Cybersecurity,https://www.crowdstrike.com,CrowdStrike Falcon: Cybersecurity’s AI-native platform,Cybersecurity | AI | Software,crowdstrike.com
Cube,Build AI and analytics solutions with unified data,https://cubecloud.dev,Universal semantic layer platform for data and app development teams,AI | Analytics | Data Management,cubecloud.dev
Cusp.AI,AI-driven insights for smarter decision-making,https://cusp.ai,AI analytics platform,AI | Data Analytics | Software,cusp.ai
Cynomi,World's leading vCISO platform chosen by MSSPs and MSPs across the globe.,https://cynomi.com/,Automated vCISO Platform Powered by AI,Cybersecurity | AI | Compliance | Risk Management,cynomi.com
DAIR.AI,Our mission is to enable the next generation of AI innovators and creators.,https://dair.ai,AI education and training courses,Education | AI | Online Learning | Technology,dair.ai
DAIR.AI,Empowering AI through Data and Insights,https://dair-ai.thinkific.com,AI training and data analytics courses,Education | AI | Data Analytics,dair-ai.thinkific.com
Danti,Make sense of the world’s data,https://danti.ai,Data search engine for Earth data,Data Analytics | AI | Geospatial Technology,danti.ai
Darktrace,Cyber security that learns you,https://darktrace.com,AI-powered cybersecurity solutions,Cybersecurity | AI | Technology,darktrace.com
Darrow,Discover your next big case.,https://www.darrow.ai/,AI-Powered Justice Intelligence Platform,Legal Tech | AI | Data Analytics | AI,darrow.ai
Darrow AI,AI-Powered Legal Insights,https://darro.ai,AI-driven legal analytics platform,AI | Legal Tech | Data Analytics,darro.ai
Data Science Dojo,Learn Data Science Online,https://datasciencedojo.com,Data science training and bootcamps,Education | E-learning | Data Analytics | AI | Analytics,datasciencedojo.com
DataRobot,The platform for generative and predictive AI.,https://www.datarobot.com,MLOps,AI Platform | Machine Learning | Data Analytics | Predictive Analytics,datarobot.com
DataStax,One-Stop GenAI Stack to Build Production-Ready Apps,https://www.datastax.com,Generative AI platform and vector database,AI | Database | Cloud Computing,datastax.com
Databricks,"Unify your data, analytics and AI",https://www.databricks.com/,Databricks Data Intelligence Platform,Data Management | Data Engineering | Data Analytics | AI | Data Warehousing | Real-Time Analytics | BI,databricks.com
Datadog,Cloud Monitoring as a Service,https://www.datadoghq.com/,The integrated platform for monitoring & security,Observability | Security | Digital Experience | Software Delivery | Service Management | AI | Platform Capabilities,datadoghq.com
Dataiku,Where everyone can create and consume AI,https://www.dataiku.com,End-to-End AI Platform,Data Analytics | Machine Learning | AI | Data Analytics,dataiku.com
Dataworkz,RAG as a Service,https://www.dataworkz.com/,GenAI applications using Retrieval Augmented Generation (RAG),AI | SaaS | Data Transformation,dataworkz.com
